Pallet Name	Recall	Precision	F1-Score
pallet_24762	1	0.9848	0.9924
pallet_24764	1	0.9828	0.9913
pallet_24766	0.9911	0.9911	0.9911
pallet_24767	0.7745	0.9105	0.837
pallet_24768	0.7692	0.9847	0.8637
pallet_24770	0.9715	0.9983	0.9847
pallet_24771	0.9634	1	0.9813
pallet_24772	0.9107	0.9875	0.9475
pallet_24773	0.5688	0.5688	0.5688
pallet_24774	0.2211	0.2577	0.238
pallet_24775	0.9961	0.9961	0.9961
pallet_24776	0.9833	1	0.9916
pallet_24777	0.98	1	0.9899
pallet_24778	0.928	1	0.9627
pallet_24779	0.9431	0.9831	0.9627
pallet_24780	0.9922	0.9922	0.9922
pallet_24787	1	1	1
pallet_24788	1	1	1
pallet_24789	1	0.9932	0.9966
pallet_24791	0.9893	0.9823	0.9858
